Image,type,diameter,pathlength,nodenumber,edgenumber,all_edgesnumber,avg.edge,rate
buildpack-deps,Other,7,2.894,450,852,2191,2.572,4.868888889
baseimage,Other,7,2.975,1557,2642,5950,2.252,3.821451509
base,Other,10,3.65,952,1720,3295,1.916,3.461134454
apache,T/S,1,1,71,93,245,2.634,3.450704225
centos7,OS,3,1.071,68,93,230,2.473,3.382352941
scratch,Other,10,3.882,681,1102,2214,2.009,3.251101322
alpine-glibc,OS,5,1.425,165,240,508,2.117,3.078787879
alpine-java,LR,5,1.964,194,275,586,2.131,3.020618557
opensuse,OS,4,1.635,100,144,299,2.076,2.99
base-alpine,OS,4,1.488,70,88,198,2.25,2.828571429
ubuntu,OS,13,4.558,14976,22535,38577,1.712,2.575921474
openjdk,LR,5,2.062,1686,2437,4328,1.776,2.567022539
composer,T/S,3,1.374,125,183,315,1.721,2.52
alpine,OS,10,3.875,8303,12222,20395,1.669,2.456341082
cuda,AI/F,3,1.098,278,346,668,1.931,2.402877698
debian,OS,10,3.816,6532,9571,15671,1.637,2.399112064
openresty,T/S,1,1,67,72,160,2.222,2.388059701
centos,OS,8,3.59,3689,5273,8630,1.637,2.339387368
alpine-oraclejdk8,LR,2,1.007,126,150,261,1.74,2.071428571
fedora,OS,8,2.639,746,962,1533,1.594,2.054959786
java,LR,8,1.591,1862,2253,3753,1.666,2.015574651
base-jdk,LR,2,1.048,70,80,140,1.75,2
ubuntu-base,OS,5,1.614,117,151,222,1.47,1.897435897
busybox,Other,5,1.424,446,518,828,1.598,1.856502242
php,LR,8,1.829,2419,2930,4331,1.478,1.79040926
alpine-base,OS,4,1.275,141,179,252,1.408,1.787234043
minideb-extras,OS,4,1.298,65,84,115,1.369,1.769230769
aspnetcore-build,Other,1,1,129,217,223,1.028,1.728682171
alpine-node,LR,2,1.022,721,855,1226,1.434,1.700416089
ubuntu-debootstrap,Other,1,1,73,85,121,1.424,1.657534247
docker,T/S,3,1.035,361,412,589,1.43,1.631578947
minideb,OS,3,1.113,86,95,136,1.432,1.581395349
archlinux,OS,5,1.396,253,312,399,1.279,1.577075099
tomcat,T/S,3,1.083,446,504,700,1.389,1.569506726
nginx,T/S,4,1.094,1971,2113,3083,1.459,1.564180619
rabbitmq,T/S,1,1,75,74,116,1.568,1.546666667
nodejs,LR,2,1.007,250,290,383,1.321,1.532
elasticsearch,T/S,2,1.012,163,165,246,1.491,1.509202454
jenkins,T/S,1,1,257,258,384,1.488,1.494163424
android,OS,3,1.247,56,66,82,1.242,1.464285714
kibana,T/S,1,1,52,51,75,1.471,1.442307692
oraclelinux,OS,2,1.03,60,65,83,1.277,1.383333333
node,LR,7,1.915,7368,8089,10146,1.254,1.377035831
httpd,T/S,2,1.055,210,225,286,1.271,1.361904762
dind,T/S,1,1,49,55,66,1.2,1.346938776
redis,T/S,1,1,87,86,117,1.36,1.344827586
spark,AI/F,1,1,43,43,57,1.326,1.325581395
nginx-php,T/S,1,1,60,60,79,1.317,1.316666667
ruby,LR,4,1.039,3976,4203,5213,1.24,1.3111167
golang,LR,4,1.163,3293,3522,4278,1.215,1.299119344
kali-linux-docker,OS,1,1,70,71,90,1.268,1.285714286
haskell,LR,1,1,67,66,86,1.303,1.28358209
mono,AI/F,1,1,117,118,149,1.263,1.273504274
php-fpm,Other,2,1.037,48,52,61,1.173,1.270833333
logstash,T/S,1,1,104,104,131,1.26,1.259615385
nginx-php-fpm,T/S,1,1,66,72,83,1.153,1.257575758
drupal,AI/F,1,1,47,49,59,1.204,1.255319149
wordpress,T/S,1,1,106,106,132,1.245,1.245283019
java8,LR,1,1,74,79,92,1.165,1.243243243
elixir,LR,1,1,137,138,170,1.232,1.240875912
